"","purpose","users","own_country","orbital_class","orbit_type","longitude","perigee","apogee","eccentricity","inclination","period","launch_mass","launch_date","lifetime","launch_site","new_name","launch_year","group_label","height","velocity","color","mean_alt","Count","unit","new_users","new_purpose"
"1","Communications","Civil","Israel","LEO","Sun-Synchronous",0,601,623,0.00158,97.97,96.93,1,2014-06-19,NA,"Dombarovsky Air Base","Duchifat-1",2014,"World",623000,17704.0961957249,"#FB1108",612,11,1,"Civil","Communications"
"2","Communications","Commercial","China","GEO","Unlisted",101,35778,35795,0.000202,0,1436.11,3760,2009-08-11,15,"Baikonur Cosmodrome","AsiaSat-5",2009,"World",35795000,17655.4257678026,"#BFE0E8",35786,191,1,"Commercial","Communications"
"3","Communications","Commercial","USA","GEO","Unlisted",-58,35782,35792,0.000119,0.01,1436.14,3659,2000-07-28,15,"Sea Launch (Odyssey)","Intelsat 9",2000,"USA",35792000,17655.429902051,"#C1E1E9",35787,575,1,"Commercial","Communications"
"4","Communications","Commercial","Multinational","GEO","Unlisted",-75,35700,35700,0,0,1436.1,1800,2016-06-15,15,"Cape Canaveral","ABS-2A",2016,"World",35700000,17655.5566870799,"#F5F6CD",35700,66,1,"Commercial","Communications"
"5","Communications","Commercial","USA","GEO","Unlisted",48,35776,35796,0.000237,0.02,1436.1,3642,1994-06-17,15,"Guiana Space Center","Intelsat 702",1994,"USA",35796000,17655.4243897204,"#C1E1E9",35786,575,1,"Commercial","Communications"
"6","Communications","Commercial","Multinational","GEO","Unlisted",-117,35779,35795,0.00019,0.02,1436.1,5500,2016-06-15,15,"Cape Canaveral","Eutelsat 117 West B",2016,"World",35795000,17655.4257678026,"#A4D4E3",35787,66,1,"Commercial","Communications"
"7","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,769,777,0.00056,45,100.3,45,1997-12-23,5,"Wallops Island Flight Facility","ORBCOMM FM-11",1997,"USA",777000,17703.8822149742,"#FB4A08",773,575,1,"Commercial","Communications"
"8","Communications","Commercial","Saudi Arabia","LEO","Sun-Synchronous",0,648,758,0.00778,97.8,98.8,12,2007-04-17,NA,"Baikonur Cosmodrome","Saudicomsat-6",2007,"World",758000,17703.9086147771,"#FC280A",703,11,1,"Commercial","Communications"
"9","Communications","Civil","Netherlands","LEO","Sun-Synchronous",0,594,683,0.00635,97.8,97.4,1,2013-11-21,NA,"Dombarovsky Air Base","FUNCube-1",2013,"World",683000,17704.0128256787,"#FB1108",638,10,1,"Civil","Communications"
"10","Communications","Commercial","Russia","GEO","Unlisted",40,35777,35796,0.000225,0.01,1436.1,5720,2015-03-18,15,"Baikonur Cosmodrome","Express-AM7",2015,"World",35796000,17655.4243897204,"#A2D4E3",35786,133,1,"Commercial","Communications"
"11","Communications","Commercial","Multinational","GEO","Unlisted",45,35778,35794,0.00019,0.01,1436.09,3600,1999-05-20,12,"Baikonur Cosmodrome","Arabsat 7F",1999,"World",35794000,17655.4271458851,"#C2E1E9",35786,66,1,"Commercial","Communications"
"12","Communications","Commercial","Japan","GEO","Unlisted",162,35786,35801,0.000178,0,1436.01,4500,2016-08-14,15,"Cape Canaveral","JCSat 16",2016,"World",35801000,17655.4174993144,"#B1D9E6",35794,60,1,"Commercial","Communications"
"13","Communications","Commercial","Multinational","GEO","Unlisted",-115,35789,35789,0,0,1436,NA,2015-03-02,15,"Cape Canaveral","Eutelsat 115 West-B",2015,"World",35789000,17655.4340363024,NA,35789,66,1,"Commercial","Communications"
"14","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52.01,103.48,700,2013-02-06,15,"Baikonur Cosmodrome","Globalstar M096",2013,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"15","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,114.1,700,2011-07-13,15,"Baikonur Cosmodrome","Globalstar M088",2011,"USA",1415000,17702.9958059407,"#FBF36B",1414,575,1,"Commercial","Communications"
"16","Communications","Commercial","Multinational","GEO","Unlisted",7,35784,35794,0.000119,0.03,1436.21,5404,2013-05-14,15,"Baikonur Cosmodrome","Eutelsat 7B",2013,"World",35794000,17655.4271458851,"#A5D4E4",35789,66,1,"Commercial","Communications"
"17","Communications","Commercial","Russia","GEO","Unlisted",140,35420,35940,0.00618,0.08,1430.6,3400,2013-12-26,15,"Baikonur Cosmodrome","Express-AM5",2013,"World",35940000,17655.2259492574,"#C5E3E9",35680,133,1,"Commercial","Communications"
